Date,Campaign ID,Daily budget
2022-01-01,1822059265,290212
2022-01-01,8789177912,1300.52
2022-01-01,8789177918,2500.03
2022-01-01,8789177930,8400.77
2022-01-01,8789177936,45000.32
2022-01-01,8789177942,1250.72
2022-01-01,8789177948,6500
2022-01-01,8789177954,1000
2022-01-01,8789177969,18500
2022-01-01,10081407552,2800.06
2022-01-01,10712348821,3270.62
2022-01-01,10712348824,12500
2022-01-01,10712348827,2200
2022-01-01,10712348830,1540.45
2022-01-01,10712348845,1000
2022-01-01,10712348848,1000
2022-01-01,10712348866,1000
2022-01-01,10712348869,1170.84
2022-01-01,10712348872,1000
2022-01-01,10712348875,1000
2022-01-01,10712348878,1100.92
2022-01-01,10712349001,55500
2022-01-01,10712349004,1000
2022-01-01,11866806387,2500.61
2022-01-01,13273184588,6800
2022-01-01,13273184594,15563.45
2022-01-01,13273184600,6000.42
2022-01-01,13273184603,6600.09
2022-01-01,15640225612,22500
2022-01-02,1822059265,290212
2022-01-02,8789177912,1300.52
2022-01-02,8789177918,2500.03
2022-01-02,8789177930,8400.77
2022-01-02,8789177936,45000.32
2022-01-02,8789177942,1250.72
2022-01-02,8789177948,6500
2022-01-02,8789177954,1000
2022-01-02,8789177969,18500
2022-01-02,10081407552,2800.06
2022-01-02,10712348821,3270.62
2022-01-02,10712348824,12500
2022-01-02,10712348827,2200
2022-01-02,10712348830,1540.45
2022-01-02,10712348842,3250.98
2022-01-02,10712348845,1000
2022-01-02,10712348848,1000
2022-01-02,10712348866,1000
2022-01-02,10712348869,1170.84
2022-01-02,10712348872,1000
2022-01-02,10712348875,1000
2022-01-02,10712348878,1100.92
2022-01-02,10712349001,55500
2022-01-02,10712349004,1000
2022-01-02,11866806387,2500.61
2022-01-02,13273184588,6800
2022-01-02,13273184594,15563.45
2022-01-02,13273184600,6000.42
2022-01-02,13273184603,6600.09
2022-01-02,15074228116,1000
2022-01-02,15640225612,22500
2022-01-03,1822059265,290212
2022-01-03,8789177912,1300.52
2022-01-03,8789177918,2500.03
2022-01-03,8789177930,8400.77
2022-01-03,8789177936,45000.32
2022-01-03,8789177942,1250.72
2022-01-03,8789177948,6500
2022-01-03,8789177954,1000
2022-01-03,8789177969,18500
2022-01-03,10081407552,2800.06
2022-01-03,10712348821,3270.62
2022-01-03,10712348824,12500
2022-01-03,10712348827,2200
2022-01-03,10712348830,1540.45
2022-01-03,10712348842,3250.98
2022-01-03,10712348845,1000
2022-01-03,10712348848,1000
2022-01-03,10712348866,1000
2022-01-03,10712348869,1170.84
2022-01-03,10712348872,1000
2022-01-03,10712348875,1000
2022-01-03,10712348878,1100.92
2022-01-03,10712349001,55500
2022-01-03,10712349004,1000
2022-01-03,11866806387,2500.61
2022-01-03,13273184588,6800
2022-01-03,13273184594,15563.45
2022-01-03,13273184600,6000.42
2022-01-03,13273184603,6600.09
2022-01-03,15074228116,1000
2022-01-03,15640225612,22500
2022-01-04,1822059265,290212
2022-01-04,8789177912,1300.52
2022-01-04,8789177918,2500.03
2022-01-04,8789177930,8400.77
2022-01-04,8789177936,45000.32
2022-01-04,8789177942,1250.72
2022-01-04,8789177948,6500
2022-01-04,8789177954,1000
2022-01-04,8789177969,18500
2022-01-04,10081407552,2800.06
2022-01-04,10712348821,3270.62
2022-01-04,10712348824,12500
2022-01-04,10712348827,2200
2022-01-04,10712348830,1540.45
2022-01-04,10712348842,3250.98
2022-01-04,10712348845,1000
2022-01-04,10712348848,1000
2022-01-04,10712348866,1000
2022-01-04,10712348869,1170.84
2022-01-04,10712348872,1000
2022-01-04,10712348875,1000
2022-01-04,10712348878,1100.92
2022-01-04,10712349001,55500
2022-01-04,10712349004,1000
2022-01-04,11866806387,2500.61
2022-01-04,13273184588,6800
2022-01-04,13273184594,15563.45
2022-01-04,13273184600,6000.42
2022-01-04,13273184603,6600.09
2022-01-04,15640225612,22500
2022-01-05,1822059265,290212
2022-01-05,8789177912,1300.52
2022-01-05,8789177918,2500.03
2022-01-05,8789177930,8400.77
2022-01-05,8789177936,45000.32
2022-01-05,8789177942,1250.72
2022-01-05,8789177948,6500
2022-01-05,8789177954,1000
2022-01-05,8789177969,18500
2022-01-05,10081407552,2800.06
2022-01-05,10712348821,3270.62
2022-01-05,10712348824,12500
2022-01-05,10712348827,2200
2022-01-05,10712348830,1540.45
2022-01-05,10712348845,1000
2022-01-05,10712348848,1000
2022-01-05,10712348866,1000
2022-01-05,10712348869,1170.84
2022-01-05,10712348872,1000
2022-01-05,10712348875,1000
2022-01-05,10712348878,1100.92
2022-01-05,10712349001,55500
2022-01-05,10712349004,1000
2022-01-05,11866806387,2500.61
2022-01-05,13273184588,6800
2022-01-05,13273184594,15563.45
2022-01-05,13273184600,6000.42
2022-01-05,13273184603,6600.09
2022-01-05,15640225612,22500
2022-01-06,1822059265,290212
2022-01-06,8789177912,1300.52
2022-01-06,8789177918,2500.03
2022-01-06,8789177930,8400.77
2022-01-06,8789177936,45000.32
2022-01-06,8789177942,1250.72
2022-01-06,8789177948,6500
2022-01-06,8789177954,1000
2022-01-06,8789177969,18500
2022-01-06,10081407552,2800.06
2022-01-06,10712348821,3270.62
2022-01-06,10712348824,12500
2022-01-06,10712348827,2200
2022-01-06,10712348830,1540.45
2022-01-06,10712348842,3250.98
2022-01-06,10712348845,1000
2022-01-06,10712348848,1000
2022-01-06,10712348866,1000
2022-01-06,10712348869,1170.84
2022-01-06,10712348872,1000
2022-01-06,10712348875,1000
2022-01-06,10712348878,1100.92
2022-01-06,10712349001,55500
2022-01-06,10712349004,1000
2022-01-06,11866806387,2500.61
2022-01-06,13273184588,6800
2022-01-06,13273184594,15563.45
2022-01-06,13273184600,6000.42
2022-01-06,13273184603,6600.09
2022-01-06,15640225612,22500
2022-01-07,1822059265,290212
2022-01-07,8789177912,1300.52
2022-01-07,8789177918,2500.03
2022-01-07,8789177930,8400.77
2022-01-07,8789177936,45000.32
2022-01-07,8789177942,1250.72
2022-01-07,8789177948,6500
2022-01-07,8789177954,1000
2022-01-07,8789177969,18500
2022-01-07,10081407552,2800.06
2022-01-07,10712348821,3270.62
2022-01-07,10712348824,12500
2022-01-07,10712348827,2200
2022-01-07,10712348830,1540.45
2022-01-07,10712348845,1000
2022-01-07,10712348848,1000
2022-01-07,10712348866,1000
2022-01-07,10712348869,1170.84
2022-01-07,10712348872,1000
2022-01-07,10712348875,1000
2022-01-07,10712348878,1100.92
2022-01-07,10712349001,55500
2022-01-07,10712349004,1000
2022-01-07,11866806387,2500.61
2022-01-07,13273184588,6800
2022-01-07,13273184594,15563.45
2022-01-07,13273184600,6000.42
2022-01-07,13273184603,6600.09
2022-01-07,15640225612,22500
2022-01-08,1822059265,290212
2022-01-08,8789177912,1300.52
2022-01-08,8789177918,2500.03
2022-01-08,8789177930,8400.77
2022-01-08,8789177936,45000.32
2022-01-08,8789177942,1250.72
2022-01-08,8789177948,6500
2022-01-08,8789177954,1000
2022-01-08,8789177969,18500
2022-01-08,10081407552,2800.06
2022-01-08,10712348821,3270.62
2022-01-08,10712348824,12500
2022-01-08,10712348827,2200
2022-01-08,10712348830,1540.45
2022-01-08,10712348842,3250.98
2022-01-08,10712348845,1000
2022-01-08,10712348848,1000
2022-01-08,10712348866,1000
2022-01-08,10712348869,1170.84
2022-01-08,10712348872,1000
2022-01-08,10712348875,1000
2022-01-08,10712348878,1100.92
2022-01-08,10712349001,55500
2022-01-08,10712349004,1000
2022-01-08,11866806387,2500.61
2022-01-08,13273184588,6800
2022-01-08,13273184594,15563.45
2022-01-08,13273184600,6000.42
2022-01-08,13273184603,6600.09
2022-01-08,15640225612,22500
2022-01-09,1822059265,290212
2022-01-09,8789177912,1300.52
2022-01-09,8789177918,2500.03
2022-01-09,8789177930,8400.77
2022-01-09,8789177936,45000.32
2022-01-09,8789177942,1250.72
2022-01-09,8789177948,6500
2022-01-09,8789177954,1000
2022-01-09,8789177969,18500
2022-01-09,10081407552,2800.06
2022-01-09,10712348821,3270.62
2022-01-09,10712348824,12500
2022-01-09,10712348827,2200
2022-01-09,10712348830,1540.45
2022-01-09,10712348845,1000
2022-01-09,10712348848,1000
2022-01-09,10712348866,1000
2022-01-09,10712348869,1170.84
2022-01-09,10712348872,1000
2022-01-09,10712348875,1000
2022-01-09,10712348878,1100.92
2022-01-09,10712349001,55500
2022-01-09,10712349004,1000
2022-01-09,11866806387,2500.61
2022-01-09,13273184588,6800
2022-01-09,13273184594,15563.45
2022-01-09,13273184600,6000.42
2022-01-09,13273184603,6600.09
2022-01-09,15074228116,1000
2022-01-09,15640225612,22500
2022-01-10,1822059265,290212
2022-01-10,8789177912,1300.52
2022-01-10,8789177918,2500.03
2022-01-10,8789177930,8400.77
2022-01-10,8789177936,45000.32
2022-01-10,8789177942,1250.72
2022-01-10,8789177948,6500
2022-01-10,8789177954,1000
2022-01-10,8789177969,18500
2022-01-10,10081407552,2800.06
2022-01-10,10712348821,3270.62
2022-01-10,10712348824,12500
2022-01-10,10712348827,2200
2022-01-10,10712348830,1540.45
2022-01-10,10712348842,3250.98
2022-01-10,10712348845,1000
2022-01-10,10712348848,1000
2022-01-10,10712348866,1000
2022-01-10,10712348869,1170.84
2022-01-10,10712348872,1000
2022-01-10,10712348875,1000
2022-01-10,10712348878,1100.92
2022-01-10,10712349001,55500
2022-01-10,10712349004,1000
2022-01-10,11866806387,2500.61
2022-01-10,13273184588,6800
2022-01-10,13273184594,15563.45
2022-01-10,13273184600,6000.42
2022-01-10,13273184603,6600.09
2022-01-10,15074228116,1000
2022-01-10,15640225612,22500
2022-01-11,1822059265,290212
2022-01-11,8789177912,1300.52
2022-01-11,8789177918,2500.03
2022-01-11,8789177930,8400.77
