,date,initial,final,level,campaigns name,ad group name
0,"29 Jun 2022, 12:31:53",$105.00,$135.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
1,"4 Jun 2022, 10:22:20",$95.00,$105.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
2,"3 Jun 2022, 11:40:14",$100.00,$111.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
3,"1 Jun 2022, 09:48:37",$98.00,$100.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
4,"1 Jun 2022, 09:46:26",$93.00,$98.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
5,"26 May 2022, 08:32:27",$99.00,$93.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
6,"25 May 2022, 15:51:30",$126.00,$99.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
7,"23 May 2022, 08:28:17",$105.00,$95.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
8,"19 May 2022, 14:07:04",$105.00,$126.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
9,"17 May 2022, 19:30:45",$90.00,$105.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
10,"17 May 2022, 18:30:48",$108.00,$90.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
11,"17 May 2022, 13:56:04",$90.00,$108.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
12,"17 May 2022, 11:16:04",$95.00,$105.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
13,"17 May 2022, 01:05:59",$90.00,$95.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
14,"23 Apr 2022, 02:07:43",$85.00,$90.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
15,"17 Apr 2022, 14:52:52",$80.00,$90.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
16,"16 Apr 2022, 12:48:58",$76.00,$80.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
17,"13 Apr 2022, 10:27:44",$75.00,$85.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
18,"12 Apr 2022, 12:56:57",$80.00,$76.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
19,"12 Apr 2022, 08:49:26",$85.00,$75.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
20,"11 Apr 2022, 16:24:03",$95.00,$85.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
21,"9 Apr 2022, 10:27:14",$75.00,$95.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
22,"26 Mar 2022, 10:35:59",$55.00,$75.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
23,"16 Mar 2022, 09:28:56",$75.00,$55.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
24,"11 Mar 2022, 10:32:23",default,$80.00,ad group,US-S[01]: Prospecting | Brand | Subscription - Broad,Subscription
25,"10 Mar 2022, 08:23:40",$40.00,$75.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
26,"16 Feb 2022, 08:57:11",$70.00,$40.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
27,"6 Jan 2022, 09:30:08",$50.00,$70.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
28,"5 Jan 2022, 09:01:04",$100.00,$50.00,campaign,US-S[01]: Prospecting | Brand | Subscription - Broad,
